companyName,industry,revenue,debtToEquity,yearsInBusiness,paymentHistory,outstandingDebt,creditUtilization,latePayments,collateralValue,annualGrowth,creditScore,riskLevel,loanEligibility
Company 268,technology,64138.16,0.117,13,81.68,32148.36,43.52,2,86375.69,-21.07,589,moderate,review
Company 269,technology,31721.98,0.05,5,89.88,47854.98,83.4,3,87840.86,9.08,588,moderate,review
Company 270,technology,24841.56,0.368,44,92.88,34085.72,66.18,3,49222.58,-11.27,662,moderate,review
Company 271,technology,72217.57,0.549,23,57.29,84751.79,80.46,2,42724.27,-20.35,557,moderate,review
Company 272,technology,67557.69,0.503,7,52.36,117573.27,69.47,1,179084.48,4.37,580,moderate,review
Company 273,technology,95170.53,0.05,33,99.99,151326.89,18.38,2,228935.55,5.26,713,moderate,review
Company 274,manufacturing,344101.18,1.715,3,83.85,471112.01,93.01,3,724752.39,-23.05,467,high,denied
Company 275,healthcare,74744.55,0.166,23,67.61,101879.93,75.79,4,152214.88,-5.71,538,high,denied
Company 276,retail,88262.04,0.917,35,47.83,119876.18,56.54,1,92418.19,3.88,596,moderate,review
Company 277,retail,25284.6,0.969,36,52.49,27757.77,19.87,4,26200.29,-0.35,558,moderate,review
Company 278,manufacturing,21385.62,0.124,23,66.08,20988.94,20.54,3,12252.49,0.06,625,moderate,review
Company 279,services,212407.86,0.05,19,67.95,307617.74,60.29,4,188053.95,22.69,614,low,review
Company 280,services,28601.55,0.05,42,30.96,36036.22,42.46,2,38360.49,37.2,649,moderate,review
Company 281,technology,25973.83,0.328,10,97.16,26778.06,65.83,2,48098.65,0.3,630,moderate,review
Company 282,technology,58030.32,0.866,4,70.29,19768.41,38.52,8,47992.31,-14.83,433,high,denied
Company 283,technology,55706.16,0.144,8,71.24,79863.96,51.16,2,105503.6,1.48,622,high,denied
Company 284,technology,29085.49,0.073,40,44.8,38608.0,21.92,3,33689.73,7.91,591,moderate,review
Company 285,manufacturing,46911.65,0.894,24,83.55,35196.5,18.97,4,53240.17,4.2,615,moderate,review
Company 286,retail,160091.46,0.156,2,81.61,124393.31,11.81,3,459440.17,14.16,646,moderate,review
Company 287,technology,31420.16,1.659,9,36.66,17870.93,78.77,1,93659.15,38.18,551,moderate,review
Company 288,retail,19634.86,0.675,2,71.65,37848.93,54.98,5,49648.65,-20.7,474,high,denied
Company 289,manufacturing,127271.12,0.884,40,76.07,220736.82,90.24,4,80941.88,-2.61,544,low,review
Company 290,technology,88772.97,2.084,23,88.49,103508.68,72.45,0,206093.5,28.12,646,low,review
Company 291,services,36445.93,0.177,4,44.43,31457.98,74.19,3,34480.2,-2.83,520,high,denied
Company 292,technology,16886.44,0.817,11,91.43,25329.12,50.82,0,32473.53,16.84,640,moderate,review
Company 293,services,33001.27,0.422,31,62.3,36389.96,78.39,2,90234.85,14.46,611,moderate,denied
Company 294,technology,57310.35,0.141,30,36.76,111991.12,89.79,1,83128.03,23.55,557,moderate,review
Company 295,services,152137.15,0.901,41,37.39,31147.49,69.96,1,429346.88,33.7,627,moderate,review
Company 296,services,26127.26,0.05,2,43.85,4314.73,14.5,3,59333.19,10.0,555,moderate,approved
Company 297,services,55959.53,1.871,4,49.79,66052.45,63.59,1,70090.97,-21.19,494,high,denied
Company 298,services,102756.33,1.147,2,64.75,49963.26,15.84,8,75761.52,-5.51,480,high,denied
Company 299,healthcare,10000.0,3.944,20,82.41,12481.78,11.95,2,25383.78,37.79,634,high,denied
Company 300,manufacturing,136903.14,0.616,36,43.07,216950.92,67.36,1,225226.0,-16.21,569,moderate,review
Company 301,healthcare,23249.51,2.519,33,99.49,8425.82,80.13,3,15849.98,12.45,579,high,denied
Company 302,technology,78088.37,0.202,11,41.31,73180.95,19.3,2,59175.83,-32.72,545,high,denied
Company 303,manufacturing,72936.65,0.754,33,71.96,102728.9,11.67,4,212785.63,-15.27,643,moderate,review
Company 304,manufacturing,142581.51,0.751,33,95.03,240155.85,84.79,2,157909.72,18.3,662,moderate,denied
Company 305,services,93035.79,1.16,10,88.28,97041.33,16.9,3,271336.82,5.54,615,moderate,review
Company 306,manufacturing,10000.0,2.908,37,75.35,4916.92,8.16,3,22028.99,-0.65,576,moderate,review
Company 307,retail,31957.96,1.584,21,80.08,38765.6,69.89,5,39986.69,-7.22,510,low,review
Company 308,manufacturing,66873.9,0.077,3,39.39,64438.52,81.29,1,97590.41,-24.95,515,high,denied
Company 309,retail,51226.7,0.836,20,30.68,80254.73,51.3,4,125126.13,15.4,504,low,review
Company 310,technology,87736.09,0.385,38,60.39,101387.34,53.59,0,139372.06,0.75,646,moderate,review
Company 311,manufacturing,112588.32,0.136,35,36.27,71032.35,35.32,2,77334.32,-17.83,602,moderate,review
Company 312,retail,97417.52,0.653,14,55.04,149374.82,26.46,0,104678.57,5.45,625,moderate,review
Company 313,technology,50442.03,0.511,38,45.66,54665.0,72.97,1,133714.88,13.72,584,moderate,review
Company 314,retail,13669.61,0.05,20,94.14,5978.25,81.44,2,30625.88,1.99,670,moderate,review
Company 315,retail,41590.0,0.793,23,91.6,48653.54,33.91,6,72888.15,6.74,628,moderate,review
Company 316,retail,83541.14,0.099,5,87.33,158879.22,29.64,2,93043.04,5.57,649,moderate,review
Company 317,retail,25025.29,1.393,49,79.98,36048.45,29.1,1,42204.56,-5.6,689,moderate,review
Company 318,healthcare,99212.55,0.301,42,40.79,66246.84,9.55,2,245265.59,5.81,630,moderate,review
Company 319,retail,123836.15,0.898,10,33.39,179644.04,30.3,1,87163.07,16.03,587,moderate,review
Company 320,services,66270.07,0.19,28,75.77,42210.85,7.31,1,197943.36,20.52,696,moderate,review
Company 321,services,10000.0,2.299,39,74.96,11311.09,75.96,2,26494.06,16.86,565,low,review
Company 322,manufacturing,21537.04,0.055,25,55.86,23702.2,28.03,0,27888.62,-5.13,693,moderate,review
Company 323,retail,270750.04,2.194,11,63.09,154339.08,67.11,1,724646.73,14.54,526,high,denied
Company 324,manufacturing,38668.08,0.198,48,64.24,29425.42,53.89,4,85235.52,11.98,630,moderate,review
Company 325,services,12242.7,0.157,14,46.79,23140.48,80.37,2,26516.3,-5.65,541,high,denied
Company 326,healthcare,160845.24,0.919,17,51.99,92668.93,91.43,2,136601.74,-1.96,535,high,denied
Company 327,services,60517.3,0.791,19,59.29,98156.11,38.06,4,167314.38,15.2,573,moderate,review
Company 328,manufacturing,144922.21,3.164,44,72.22,198254.18,12.95,2,235622.43,25.65,634,moderate,review
Company 329,manufacturing,74724.77,0.674,25,96.91,83093.6,72.47,4,187414.91,-22.18,574,moderate,review
Company 330,retail,86409.02,0.233,36,67.69,31217.7,6.92,1,107908.4,29.6,724,low,approved
Company 331,healthcare,80050.05,0.885,45,81.18,39119.22,25.07,1,101664.3,22.46,709,low,approved
Company 332,technology,104609.6,0.8,46,86.49,46034.24,9.79,2,304594.19,7.99,699,moderate,review
Company 333,healthcare,370253.93,0.799,42,37.95,449824.87,85.83,1,644852.7,1.39,541,high,denied
Company 334,services,130197.14,3.406,45,75.72,253809.97,5.48,3,84592.57,10.86,649,moderate,review
Company 335,technology,16911.15,0.296,47,63.75,29877.86,49.35,3,43787.48,-4.61,629,moderate,review
Company 336,manufacturing,85590.47,0.55,49,70.07,12665.56,43.16,5,91417.04,2.33,612,moderate,review
Company 337,technology,149221.14,1.737,32,32.69,92529.13,63.75,3,402432.15,-17.13,474,high,denied
Company 338,healthcare,156711.32,1.059,7,93.44,62494.78,31.08,1,437396.91,-21.12,588,moderate,review
Company 339,technology,42561.95,0.23,6,96.69,83157.03,83.63,4,29023.64,39.98,636,moderate,review
Company 340,services,152048.61,1.401,40,30.24,83270.86,71.09,3,297418.19,5.95,522,high,denied
Company 341,technology,125767.96,0.183,16,44.9,60682.42,43.91,1,371494.7,8.06,608,high,denied
Company 342,services,468838.65,1.087,40,42.61,599955.5,37.22,6,1325547.05,4.54,505,high,denied
Company 343,services,32859.58,1.94,46,84.69,38010.47,78.43,3,59577.97,-7.42,611,moderate,review
Company 344,manufacturing,39897.92,1.434,32,71.87,21110.7,73.14,3,87824.62,0.39,584,moderate,review
Company 345,healthcare,46868.67,0.05,38,42.41,64383.18,40.91,3,94236.73,6.37,597,moderate,review
Company 346,healthcare,40450.01,0.712,14,86.98,11500.49,35.72,1,40779.01,2.05,651,moderate,review
Company 347,services,29377.47,0.167,22,54.74,4018.87,8.5,3,62647.28,-6.28,616,moderate,review
Company 348,retail,10000.0,0.389,48,62.26,2565.88,12.35,0,13328.53,12.19,683,moderate,review
Company 349,manufacturing,42287.23,1.379,41,57.11,33544.33,9.85,3,56873.36,7.83,652,moderate,review
Company 350,technology,80457.67,0.191,11,66.5,157096.09,7.2,2,124707.0,10.89,648,moderate,review
Company 351,manufacturing,40353.06,2.646,46,63.61,45993.18,18.76,3,106146.39,15.58,592,moderate,review
Company 352,technology,281617.47,0.05,25,49.22,431995.46,82.14,5,308614.61,2.44,500,high,denied
Company 353,manufacturing,60518.27,0.189,42,59.72,43018.93,76.83,3,68202.83,2.47,614,moderate,review
Company 354,manufacturing,168185.57,0.051,26,93.58,246685.22,81.1,4,87178.95,27.24,640,moderate,review
Company 355,manufacturing,73801.65,0.681,30,65.2,142861.12,61.14,2,65500.23,-9.16,595,high,denied
Company 356,manufacturing,115974.53,0.285,8,94.15,90430.64,61.17,2,341741.93,-23.1,589,moderate,review
Company 357,healthcare,74861.37,0.702,17,68.51,149588.95,16.15,0,118630.93,13.33,643,moderate,review
Company 358,healthcare,178979.71,2.085,36,83.82,234996.58,67.91,1,176816.15,-4.44,613,moderate,review
Company 359,manufacturing,62614.46,0.976,42,50.55,95319.47,30.2,4,182471.34,-11.16,562,moderate,review
Company 360,manufacturing,89044.95,0.05,5,85.33,51567.51,51.73,2,50559.25,18.28,634,moderate,review
Company 361,services,80263.19,0.05,4,48.5,106097.7,90.93,3,137283.44,2.83,560,moderate,review
Company 362,technology,47542.13,1.086,34,31.37,50913.44,83.36,2,119402.32,-13.95,524,high,denied
Company 363,technology,82783.65,0.104,22,41.25,158709.92,25.99,3,201335.05,34.02,635,moderate,review
Company 364,technology,357721.13,0.736,42,31.52,650652.74,71.3,1,348078.1,-19.16,601,moderate,review
Company 365,healthcare,48227.39,2.407,4,96.29,41170.66,14.37,3,109450.82,3.7,595,moderate,review
Company 366,retail,83748.36,0.815,18,100.0,159042.54,7.41,0,172163.31,-23.34,675,moderate,approved
Company 367,healthcare,163770.8,1.307,2,83.36,291699.35,7.54,0,358361.71,9.06,636,moderate,review
Company 368,healthcare,149074.67,0.483,35,37.57,182128.9,20.32,2,173711.06,-4.62,585,moderate,review
Company 369,retail,60437.99,0.498,43,92.93,15473.58,67.55,3,152716.88,17.29,622,moderate,review
Company 370,services,10000.0,0.05,8,82.06,4055.01,37.7,2,18980.94,4.74,645,moderate,review
Company 371,healthcare,90523.27,0.16,16,53.26,22274.25,6.43,1,209352.73,25.26,634,moderate,review
Company 372,retail,10141.8,0.05,42,65.16,3095.14,93.92,2,28893.31,-1.45,620,moderate,review
Company 373,retail,194065.26,0.379,3,76.32,379632.31,53.0,3,512088.39,-19.07,548,high,denied
Company 374,retail,68567.85,1.109,47,31.68,34497.71,40.45,1,168391.93,8.56,605,low,review
Company 375,technology,133217.61,0.137,44,65.11,188186.35,51.7,0,163074.59,1.21,669,moderate,review
Company 376,technology,29094.69,1.798,8,81.27,38096.7,51.8,5,18481.18,-22.29,523,high,denied
Company 377,services,17291.91,0.74,7,43.18,22465.22,47.32,6,33487.71,-10.83,490,high,denied
Company 378,retail,73762.33,0.906,34,61.07,36345.48,60.17,1,43245.58,-6.06,598,high,denied
Company 379,retail,58286.0,1.7,1,67.28,69987.41,84.71,2,133211.17,28.33,528,high,denied
Company 380,healthcare,40407.36,0.678,25,81.49,52065.81,32.15,3,94636.24,15.61,659,moderate,review
Company 381,manufacturing,64069.84,0.912,4,97.51,75843.96,48.83,1,122199.01,-0.22,605,high,denied
Company 382,services,500000.0,0.762,27,89.38,226854.34,5.33,1,460189.89,12.06,669,moderate,review
Company 383,healthcare,116730.18,0.068,18,73.51,172038.71,82.38,4,313922.9,-25.59,538,high,denied
Company 384,manufacturing,138634.86,0.206,35,70.85,33156.19,32.53,1,275856.08,-3.47,682,moderate,review
Company 385,retail,117612.37,1.579,44,72.22,143872.87,29.42,1,210200.34,11.01,651,moderate,review
Company 386,services,195549.67,3.447,24,68.16,181644.67,94.78,4,375255.8,7.48,483,high,denied
Company 387,healthcare,51428.24,0.176,32,34.16,29599.24,57.6,2,36370.96,-3.09,556,moderate,review
Company 388,services,11570.23,0.523,30,78.88,18906.21,16.07,3,27202.69,4.43,662,moderate,review
Company 389,technology,51489.39,0.301,49,80.14,22356.48,28.9,2,33567.94,10.07,717,moderate,review
Company 390,services,114621.26,1.041,12,65.87,214647.26,36.79,1,223049.58,4.86,596,high,denied
Company 391,manufacturing,27561.07,0.787,12,90.93,49077.28,93.75,4,25442.8,17.92,550,moderate,review
Company 392,technology,51995.23,0.05,19,77.07,40822.3,43.76,3,52996.39,9.78,595,moderate,review
Company 393,manufacturing,34426.58,3.44,37,55.39,23402.86,25.71,2,37288.65,12.67,585,moderate,review
Company 394,healthcare,199112.13,2.577,43,31.38,71924.22,56.28,2,106677.13,30.7,536,high,denied
Company 395,technology,109050.42,1.265,14,34.14,200764.31,41.43,1,297663.7,17.41,570,moderate,review
Company 396,manufacturing,100834.16,0.776,6,54.63,130309.05,9.95,0,253153.06,31.11,666,moderate,review
Company 397,services,98447.73,0.339,30,62.35,15789.91,82.48,0,56924.07,-5.08,597,moderate,review
Company 398,retail,58116.25,0.506,30,41.68,62236.63,6.41,0,37337.67,-18.89,613,moderate,review
Company 399,manufacturing,70125.73,0.401,19,43.25,18444.33,85.86,2,172312.39,2.9,558,moderate,review
Company 400,retail,23198.72,0.511,10,46.11,27609.41,76.27,2,11993.93,1.62,516,high,denied
Company 401,retail,10413.38,0.074,42,84.64,11111.36,11.82,2,17416.34,26.89,712,moderate,review
Company 402,services,67512.29,1.874,42,83.99,17378.17,70.12,1,51865.85,-11.95,602,moderate,review
Company 403,healthcare,77589.87,0.857,37,56.81,128033.78,74.38,3,153556.61,3.82,594,moderate,review
Company 404,technology,157536.37,0.575,29,42.07,94270.18,59.21,2,471955.51,11.08,610,moderate,denied
Company 405,services,210463.74,1.208,13,37.76,237575.74,56.99,2,195742.6,6.5,526,high,denied
Company 406,services,210238.69,1.224,20,36.1,276290.19,9.47,1,607949.24,2.43,569,moderate,review
Company 407,retail,26945.76,0.05,4,57.39,51961.62,10.35,1,71775.31,10.38,651,moderate,denied
Company 408,services,45169.98,0.171,13,33.19,46897.38,70.46,2,133912.61,21.19,520,moderate,review
Company 409,technology,87927.46,0.658,23,53.35,162041.51,14.5,6,212386.28,28.04,585,high,denied
Company 410,services,453850.78,1.689,22,97.31,351384.41,26.77,2,1199294.16,5.49,641,moderate,review
Company 411,healthcare,195649.36,1.765,4,65.53,338303.31,49.9,1,388656.3,-7.24,572,moderate,review
Company 412,healthcare,146608.01,0.37,47,87.59,80351.43,19.77,3,391181.0,28.02,743,moderate,review
Company 413,technology,43904.39,1.399,14,39.05,63407.23,76.09,3,34191.89,-11.16,456,high,denied
Company 414,services,29538.22,0.05,25,48.77,7926.96,77.66,0,69536.98,31.86,638,moderate,denied
Company 415,technology,112547.01,1.187,23,96.26,222111.04,80.79,3,233175.91,25.16,608,moderate,review
Company 416,technology,24821.64,0.594,24,56.85,47470.86,9.46,0,16124.54,27.34,675,moderate,review
Company 417,technology,49476.39,0.319,42,75.39,46518.0,43.51,2,60805.3,15.28,683,moderate,review
Company 418,healthcare,54621.22,0.782,37,98.33,59836.28,81.22,3,56820.65,-26.69,584,moderate,review
Company 419,technology,214128.09,0.902,43,68.56,264613.55,37.69,0,323962.66,-10.59,655,moderate,review
Company 420,services,45082.17,2.801,19,51.37,28066.87,67.62,2,44896.59,9.6,532,high,denied
Company 421,healthcare,10000.0,3.426,13,67.24,13814.96,58.03,5,11870.74,-5.13,487,high,denied
Company 422,technology,89639.89,0.561,21,33.82,127940.12,36.25,3,111160.22,0.27,550,moderate,review
Company 423,technology,34227.43,1.735,28,37.87,37569.57,29.88,0,68438.67,14.19,600,low,review
Company 424,technology,61951.36,0.508,17,30.5,23585.34,63.75,0,51864.71,2.45,538,high,denied
Company 425,manufacturing,55861.81,0.962,23,91.89,103146.22,17.03,1,61601.78,-13.29,685,moderate,review
Company 426,services,48099.97,0.242,8,76.99,15323.96,82.41,4,62187.01,18.28,577,moderate,review
Company 427,technology,112676.08,0.154,29,50.88,145963.65,56.88,4,182836.08,12.72,578,moderate,review
Company 428,services,17565.78,0.77,35,45.48,5197.16,15.04,1,10455.53,1.27,627,moderate,review
Company 429,technology,39592.25,0.391,26,77.82,14949.69,68.32,0,118698.69,15.67,667,moderate,review
Company 430,services,103490.01,0.346,43,94.37,14387.47,43.8,2,129463.93,6.43,705,moderate,review
Company 431,services,36634.0,0.063,49,50.94,28955.22,23.37,3,44633.48,24.97,682,moderate,review
Company 432,healthcare,16530.37,0.133,45,52.51,21740.86,91.5,1,31195.73,7.27,645,low,review
Company 433,healthcare,102216.08,1.096,5,89.8,111511.0,69.77,3,269347.59,24.86,598,moderate,review
Company 434,services,147042.32,1.09,44,92.54,203157.25,58.37,1,241446.93,-23.1,673,moderate,review
Company 435,technology,57757.23,0.628,17,93.98,79851.44,81.4,1,64809.27,11.89,656,moderate,review
Company 436,technology,12473.02,0.856,23,50.52,4569.24,53.95,3,23881.96,-0.97,548,high,denied
Company 437,technology,105321.81,0.051,21,38.42,22006.05,44.73,3,179821.86,-7.89,514,high,denied
Company 438,manufacturing,15868.47,1.68,14,60.8,20441.46,22.05,2,24718.12,22.38,601,moderate,review
Company 439,healthcare,76652.65,0.849,43,50.7,102800.87,18.81,1,226869.41,18.34,692,moderate,review
Company 440,manufacturing,29437.63,1.136,32,91.87,34081.03,43.88,3,88014.84,-25.1,581,moderate,review
Company 441,services,23673.9,0.179,48,32.56,13421.89,46.04,2,45095.46,15.73,620,moderate,review
Company 442,technology,42044.0,1.044,47,74.37,68971.25,71.0,1,28169.89,13.91,654,moderate,review
Company 443,healthcare,51707.7,1.064,21,93.43,12606.51,44.79,1,99138.86,-5.85,656,moderate,review
Company 444,technology,35761.72,0.394,36,98.37,46540.03,58.38,2,103035.97,-7.53,648,moderate,review
Company 445,retail,95890.54,3.449,25,75.51,31527.08,79.93,1,269858.16,-18.86,495,high,denied
Company 446,healthcare,41904.33,0.395,25,96.49,56296.4,94.4,3,43528.21,-0.06,613,moderate,review
Company 447,services,131157.31,2.2,37,35.3,117212.53,34.03,0,127917.55,2.34,564,moderate,review
Company 448,manufacturing,74977.14,1.679,34,55.15,109796.21,86.18,4,66027.84,16.95,496,high,denied
Company 449,technology,34267.55,2.322,45,30.61,6824.9,77.54,2,87363.79,9.04,560,moderate,review
Company 450,manufacturing,29948.91,0.578,38,98.68,34580.73,11.12,2,51665.99,-10.9,707,moderate,review
Company 451,technology,16026.57,0.215,31,93.19,6014.26,35.07,4,21557.6,8.58,690,moderate,review
Company 452,services,75552.76,0.179,46,31.96,105511.33,24.71,3,99126.58,1.19,616,moderate,denied
Company 453,healthcare,45086.13,1.352,6,31.27,14784.45,64.79,1,53586.36,-9.02,508,high,denied
Company 454,technology,10000.0,0.742,38,55.69,2398.08,54.98,5,27065.49,-18.84,537,high,denied
Company 455,technology,39004.34,0.593,20,48.1,56748.71,49.54,0,59450.4,14.37,611,moderate,denied
Company 456,technology,29119.78,0.537,22,89.29,6427.05,73.72,6,32324.24,11.7,578,moderate,review
Company 457,services,211196.04,0.05,39,41.23,111217.64,35.0,2,480684.72,13.35,616,low,review
Company 458,manufacturing,15333.22,0.42,14,85.35,25560.43,39.45,0,32025.52,-5.92,628,moderate,review
Company 459,healthcare,18900.04,2.542,44,68.81,30965.97,82.91,2,43251.12,7.57,561,moderate,review
Company 460,manufacturing,145506.45,0.972,25,56.42,250684.18,92.5,3,371753.02,-15.63,535,high,denied
Company 461,manufacturing,177266.68,0.238,18,40.2,127559.29,74.87,3,133496.75,-9.8,490,high,denied
Company 462,technology,32991.78,1.749,17,99.84,36399.54,24.54,1,16659.92,5.51,629,moderate,review
Company 463,services,36110.22,1.104,21,73.26,56669.94,15.14,3,22620.01,8.94,629,moderate,review
Company 464,retail,98026.03,3.053,47,60.76,35316.08,23.83,6,222223.35,-19.43,494,high,denied
